#学号 平时 期末 总分 班级 学期
2130619018 93 80 84 21机械1 22秋
2130619019 91 24 44 21机械1 22秋
2130619020 93 78 83 21机械1 22秋
2130619021 90 79 82 21机械1 22秋
2130619022 95 81 85 21机械1 22秋
2130619024 93 86 88 21机械1 22秋
2130619025 85 78 80 21机械1 22秋
2130619026 90 68 75 21机械1 22秋
2130619027 97 78 84 21机械1 22秋
2130619028 88 81 83 21机械1 22秋
2130619029 88 52 63 21机械1 22秋
2130619030 94 80 84 21机械1 22秋
2130619031 87 69 74 21机械1 22秋
2130619032 91 71 77 21机械1 22秋
2130619033 87 85 86 21机械1 22秋
2130619034 81 82 82 21机械1 22秋
2130619035 99 58 70 21机械1 22秋
2130619036 91 50 62 21机械1 22秋
2130619038 96 79 84 21机械1 22秋
2130619039 96 90 92 21机械1 22秋
2130619040 87 83 84 21机械1 22秋
2130619041 91 67 74 21机械1 22秋
2130619042 89 69 75 21机械1 22秋
2130619043 87 65 72 21机械1 22秋
2130619044 81 77 78 21机械1 22秋
2130619045 98 80 85 21机械1 22秋
2130619091 89 68 74 21机械1 22秋
1810619011 98 43 60 21机械2 22秋
2130619046 87 82 84 21机械2 22秋
2130619047 90 72 77 21机械2 22秋
2130619048 93 83 86 21机械2 22秋
2130619049 95 79 84 21机械2 22秋
2130619050 95 74 80 21机械2 22秋
2130619052 93 84 87 21机械2 22秋
2130619053 87 82 84 21机械2 22秋
2130619055 89 72 77 21机械2 22秋
2130619056 88 83 85 21机械2 22秋
2130619057 93 85 87 21机械2 22秋
2130619058 95 61 71 21机械2 22秋
2130619059 99 73 81 21机械2 22秋
2130619060 85 65 71 21机械2 22秋
2130619061 88 60 68 21机械2 22秋
2130619062 95 85 88 21机械2 22秋
2130619064 90 80 83 21机械2 22秋
2130619065 97 86 89 21机械2 22秋
2130619066 86 82 83 21机械2 22秋
2130619067 90 87 88 21机械2 22秋
2130619068 96 81 86 21机械2 22秋
2130619069 96 70 78 21机械2 22秋
2130619070 83 72 75 21机械2 22秋
2130619071 92 62 71 21机械2 22秋
2130619072 89 66 73 21机械2 22秋
2130619073 93 82 85 21机械2 22秋
2130619074 87 79 81 21机械2 22秋
2130619075 93 87 89 21机械2 22秋
2130619076 93 67 75 21机械2 22秋
2130619077 92 56 67 21机械2 22秋
2130619078 93 60 70 21机械2 22秋
2130619079 89 79 82 21机械2 22秋
2130619080 19 19 19 21机械2 22秋
2130619081 90 74 79 21机械2 22秋
2130619082 90 73 78 21机械2 22秋
2130619083 83 82 82 21机械2 22秋
2130619084 93 74 80 21机械2 22秋
2130619086 91 68 75 21机械2 22秋
2130619087 92 79 83 21机械2 22秋
2130619088 92 74 79 21机械2 22秋
2130619089 91 75 80 21机械2 22秋
2130619090 95 59 70 21机械2 22秋
2130726063 92 78 82 21数据1 22秋
2130823001 81 83 82 21数据1 22秋
2130823002 87 77 80 21数据1 22秋
2130823003 92 76 81 21数据1 22秋
2130823004 90 71 77 21数据1 22秋
2130823005 89 85 86 21数据1 22秋
2130823006 88 79 82 21数据1 22秋
2130823007 96 65 74 21数据1 22秋
2130823008 89 82 84 21数据1 22秋
2130823009 94 62 72 21数据1 22秋
2130823010 95 80 85 21数据1 22秋
2130823011 91 84 86 21数据1 22秋
2130823012 86 70 75 21数据1 22秋
2130823013 88 80 82 21数据1 22秋
2130823014 91 82 85 21数据1 22秋
2130823015 88 74 78 21数据1 22秋
2130823016 90 76 80 21数据1 22秋
2130823017 75 80 79 21数据1 22秋
2130823018 99 81 86 21数据1 22秋
2130823019 99 77 84 21数据1 22秋
2130823020 87 84 85 21数据1 22秋
2130823021 82 84 83 21数据1 22秋
2130823022 95 80 85 21数据1 22秋
2130823023 95 85 88 21数据1 22秋
2130823024 87 60 68 21数据1 22秋
2130823025 96 96 96 21数据1 22秋
2130823026 85 80 82 21数据1 22秋
2130823027 88 80 82 21数据1 22秋
2130823028 88 86 87 21数据1 22秋
2130823029 93 75 80 21数据1 22秋
2130823030 98 79 85 21数据1 22秋
2130823031 91 81 84 21数据1 22秋
2130823032 91 56 67 21数据1 22秋
2130823033 90 82 84 21数据1 22秋
2130823034 89 80 83 21数据1 22秋
2130823035 89 80 83 21数据1 22秋
2130823036 88 79 82 21数据1 22秋
2130823037 95 83 87 21数据1 22秋
2130823038 94 75 81 21数据1 22秋
2130823039 90 80 83 21数据1 22秋
2130823040 67 78 75 21数据1 22秋
2130823041 91 85 87 21数据1 22秋
2130823042 83 80 81 21数据1 22秋
2130823043 91 65 73 21数据1 22秋
2130823044 89 82 84 21数据1 22秋
2130823045 89 84 86 21数据1 22秋
2130823046 88 72 77 21数据1 22秋
2131026046 96 81 86 21数据1 22秋
1811111004 96 81 86 21数据2 22秋
2130724022 71 79 77 21数据2 22秋
2130724028 78 40 51 21数据2 22秋
2130823047 93 58 69 21数据2 22秋
2130823048 95 69 77 21数据2 22秋
2130823049 93 82 85 21数据2 22秋
2130823050 86 82 83 21数据2 22秋
2130823051 90 78 82 21数据2 22秋
2130823052 91 93 92 21数据2 22秋
2130823054 97 72 80 21数据2 22秋
2130823055 94 85 88 21数据2 22秋
2130823056 93 62 71 21数据2 22秋
2130823057 88 83 85 21数据2 22秋
2130823058 95 67 75 21数据2 22秋
2130823059 88 51 62 21数据2 22秋
2130823060 90 65 73 21数据2 22秋
2130823061 93 76 81 21数据2 22秋
2130823062 81 82 82 21数据2 22秋
2130823063 83 72 75 21数据2 22秋
2130823064 88 70 75 21数据2 22秋
2130823065 91 68 75 21数据2 22秋
2130823066 98 66 76 21数据2 22秋
2130823067 93 56 67 21数据2 22秋
2130823068 69 82 78 21数据2 22秋
2130823069 93 82 85 21数据2 22秋
2130823070 86 68 73 21数据2 22秋
2130823073 90 83 85 21数据2 22秋
2130823074 93 92 92 21数据2 22秋
2130823076 91 80 83 21数据2 22秋
2130823077 94 77 82 21数据2 22秋
2130823078 93 62 71 21数据2 22秋
2130823079 95 69 77 21数据2 22秋
2130823080 87 85 86 21数据2 22秋
2130823081 96 79 84 21数据2 22秋
2130823082 93 62 71 21数据2 22秋
2130823083 89 73 78 21数据2 22秋
2130823084 91 81 84 21数据2 22秋
2130823085 91 53 64 21数据2 22秋
2130823086 93 81 85 21数据2 22秋
2130823087 95 70 78 21数据2 22秋
2130823088 94 83 86 21数据2 22秋
2130823089 99 82 87 21数据2 22秋
2130823090 92 82 85 21数据2 22秋
2130823091 92 54 65 21数据2 22秋
2130621001 87 76 79 21制造1 22秋
2130621002 84 72 76 21制造1 22秋
2130621003 86 62 69 21制造1 22秋
2130621004 89 67 74 21制造1 22秋
2130621005 85 72 76 21制造1 22秋
2130621006 84 60 67 21制造1 22秋
2130621007 92 74 79 21制造1 22秋
2130621008 80 72 74 21制造1 22秋
2130621009 83 70 74 21制造1 22秋
2130621010 89 73 78 21制造1 22秋
2130621011 87 44 57 21制造1 22秋
2130621012 86 81 83 21制造1 22秋
2130621013 90 83 85 21制造1 22秋
2130621014 87 69 74 21制造1 22秋
2130621015 86 66 72 21制造1 22秋
2130621016 93 78 83 21制造1 22秋
2130621017 90 81 84 21制造1 22秋
2130621018 89 71 76 21制造1 22秋
2130621019 90 78 82 21制造1 22秋
2130621020 85 78 80 21制造1 22秋
2130621021 91 82 85 21制造1 22秋
2130621022 94 75 81 21制造1 22秋
2130621023 91 83 85 21制造1 22秋
2130621024 80 69 72 21制造1 22秋
2130621025 91 72 78 21制造1 22秋
2130621026 92 71 77 21制造1 22秋
2130621027 86 85 85 21制造1 22秋
2130621029 93 80 84 21制造1 22秋
2130621030 81 72 75 21制造1 22秋
2130621031 91 53 64 21制造1 22秋
2130621032 90 75 80 21制造1 22秋
2130621033 95 76 82 21制造1 22秋
2130621034 92 80 84 21制造1 22秋
2130621035 82 64 69 21制造1 22秋
2130621036 94 87 89 21制造1 22秋
2130621037 92 78 82 21制造1 22秋
2130621038 89 92 91 21制造1 22秋
2130621039 86 82 83 21制造1 22秋
2130621040 93 77 82 21制造1 22秋
2130621041 87 69 74 21制造1 22秋
2130621042 86 72 76 21制造1 22秋
2130621043 92 78 82 21制造1 22秋
2130621044 89 67 74 21制造1 22秋
2130621045 94 82 86 21制造1 22秋
2130621046 95 91 92 21制造1 22秋
2130621047 84 73 76 21制造1 22秋
2130621048 95 68 76 21制造2 22秋
2130621049 92 65 73 21制造2 22秋
2130621050 88 87 87 21制造2 22秋
2130621051 86 74 78 21制造2 22秋
2130621052 92 79 83 21制造2 22秋
2130621054 89 71 76 21制造2 22秋
2130621055 94 82 86 21制造2 22秋
2130621056 89 78 81 21制造2 22秋
